SQGDP2 Gross domestic product (GDP) by state 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of current dollars) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1
0,United States*,1,All industry total,12761337,12910022,13142873,13332316,13603933,13749806,13867469,14037228,14208569,14382363,14535003,14681501,14651039,14805611,14835187,14559543,14394547,14352850,14420312,14628021,14721350,14926098,15079917,15240843,15285828,15496189,15591850,15796460,16019758,16152257,16257151,16358863,16569591,16637926,16848748,17083137,17102932,17425766,17719836,17838454,17970422,18221299,18331093,18354372,18409130,18640732,18799648,18979245,19162550,19359123,19588074,19831829,20041047,20411924,20658204,20865140,21060062
0,United States*,2,  Private industries,11077820.8,11209860.8,11423916.2,11593875.1,11845005.4,11971058.3,12064197.2,12210187.2,12354120.5,12508492.3,12636754.9,12759812.8,12702862.6,12837043.8,12841282,12543766.7,12374702.5,12312698.8,12368508.4,12559607.8,12634533.4,12815283.8,12966134.7,13120397.7,13156505.5,13355664.2,13449405.1,13660513.8,13871069.4,14001217.3,14096121.4,14181664.7,14375167.8,14430451.2,14633690.1,14850060.1,14855616.5,15164736.8,15440643.1,15539123.4,15652064,15885634,15981559,15995970,16043625,16262570,16403845,16567400,16729002,16911169,17125997,17360590,17561596,17918612,18142623,18334605,18510676
0,United States*,3,"      Agriculture, forestry, fishing and hunting",130472.2,130667.4,128250.5,123996.9,119576.9,123277.5,127386.4,130281.4,143611,138939.1,140789.5,152909.2,157621.2,154475.1,141446.8,135430.5,124589.6,124603.7,129018.9,141658.5,135795.5,141602.6,149545.2,158254,183468.2,175382.5,183132.7,181795.8,182628.7,178607.4,175759.5,181294,218326.2,224669.1,222234.7,197171.7,194549.7,211002.9,197190,200622.7,177909,179694,187083,180196,168728,169836,164020,157071,172943,172160,165916,165879,166629,170398,157591,162134,160010
0,United States*,6,"      Mining, quarrying, and oil and gas extraction",197013.5,210279.9,232654.1,262763.6,268211,272817.2,277181.9,275076.3,282098.3,314483.6,318845.5,340424.5,357994,427429.1,430800.1,352475,289418.2,262532.4,265510.8,285902.1,307257.7,296645.2,300182.3,319267.2,334346.5,361558,357734,371623.5,369658.6,353799.1,349587.3,362145.8,369914.7,383044.8,401289.2,391826.2,409761.4,432219.3,428020.3,382019.7,284061,275011,248053,224284,195131,211260,221663,236820,255125,261253,265633,292464,301764,321471,333938,327302,304754
0,United States*,10,      Utilities,192325.6,189654.3,200008.3,210583.4,220649.8,226783,231892.5,228067.8,228257.9,232986.2,235795,230589,223094,240233,251679.3,251737.5,263564.2,252921.9,251223.1,265255.6,275005.2,274370.2,281776.7,284195.9,274996.5,288973.5,289455.7,296411.4,272408.4,281713.9,283195.9,281285.2,287415.6,286438.7,283180.7,288326.5,300612.6,295591.5,298142.9,298269.8,299747,297495,302447,296456,295981,300129,308398,306353,300452,309906,306584,313044,315253,319847,317422,325188,328371
0,United States*,11,      Construction,628497.6,643746,664197.3,670825.2,698776.4,698489.3,691573.1,699492.4,715136.1,722009.6,719550.6,704613,668170.6,652167.8,640094.4,635085.4,596779.5,569164,557967.3,538676.3,519401.9,527729.7,527665.6,525706.2,510922.6,522181,529147.6,535474.7,548348,551735.9,552030.2,561561,571507,578987.2,594272.6,605444.1,616532.1,629795.9,643381.5,656059.1,672572,690291,702820,714053,731320,740569,748479,761665,770924,773583,784043,797102,816132,835655,848468,859722,874866
0,United States*,12,      Manufacturing,1673020.7,1667801.2,1703061.7,1729883.1,1780270.9,1797640.1,1793625.1,1803845.8,1798399.6,1853285.6,1861056.7,1866242.6,1801920.7,1818212.1,1828747.7,1754497.1,1689513.9,1674130.4,1698963.8,1745935.4,1754073.1,1783215.6,1814121.6,1836632.2,1835731.4,1864321,1869377.2,1900830.8,1915123,1930034.4,1937763.6,1925301.9,1977860.4,1964310.4,1989469.7,2035978.8,1990064.8,2033911.2,2083535.5,2081890.9,2109050,2130748,2146980,2105313,2075358,2088529,2088564,2088208,2124247,2154819,2194421,2245045,2271893,2329011,2353040,2384472,2385191
0,United States*,13,          Durable goods manufacturing,945528.1,946649.2,960430.9,974590.6,1004784.2,1004086.9,994184.9,1014589.3,1010721.9,1029308.4,1046932.4,1035540.9,1011679.8,1010743.5,1004195.9,972286.4,897169.1,867051.4,865934.9,893689.3,911030.2,955500.6,988288.7,1002476.5,1002731,1003783,1011145.6,1043101.1,1050765.9,1065591.3,1063696.5,1066790.9,1090003.4,1091029.7,1107186.3,1119634.4,1098029.5,1118276.4,1151922.2,1154654.6,1174956,1183002,1189776,1183098,1177308,1179971,1183550,1187256,1200543,1215742,1235266,1255039,1268378,1293774,1311271,1328971,1344572
0,United States*,25,          Nondurable goods manufacturing,727492.7,721152.1,742630.8,755292.5,775486.6,793553.2,799440.2,789256.5,787677.7,823977.2,814124.3,830701.7,790241,807468.7,824551.8,782210.7,792344.9,807079,833028.9,852246.2,843043,827715,825832.9,834155.7,833000.4,860538,858231.7,857729.7,864357.1,864443.1,874067,858510.9,887857,873280.8,882283.4,916344.4,892035.3,915634.8,931613.3,927236.4,934093,947746,957205,922216,898050,908558,905014,900952,923703,939077,959154,990006,1003515,1035237,1041769,1055501,1040619
0,United States*,34,      Wholesale trade,742767.9,745248.6,759656,772124.5,793711.5,807473.5,817953.4,826756.7,846275.4,856826.7,859263.9,868943.4,871871.4,887383.3,895347.5,882679.1,836947.5,820641.5,825885.2,853244.7,862537.7,881663,905900.2,905522.4,911696.9,932583.7,933751.7,961594.4,979886.1,991929.7,1003089.9,1014509.4,1027932,1025896.2,1044966.8,1061475.3,1049700.6,1074916.1,1108433.1,1119615.4,1131534,1149874,1143638,1141789,1132839,1133618,1137577,1142270,1151782,1167965,1180421,1196326,1196383,1220577,1243096,1276077,1290887
